iter	RMSE
0	1.332781499
1	1.320657472
2	1.310131656
3	1.302685882
4	1.296177186
5	1.289726233
6	1.28269155
7	1.27669862
8	1.270636791
9	1.264942751
10	1.260364714
11	1.256528866
12	1.253248052
13	1.249169442
14	1.245542769
15	1.242233747
16	1.239346086
17	1.23639226
18	1.233866028
19	1.23134488
20	1.228689911
21	1.226574993
22	1.223134208
23	1.220247913
24	1.218163283
25	1.216847984
26	1.214636031
27	1.212258029
28	1.21041447
29	1.20872888
30	1.206958684
31	1.20518308
32	1.203516602
33	1.201522953
34	1.199498036
35	1.197229328
36	1.19567554
37	1.194351785
38	1.192266457
39	1.190441412
40	1.188731303
41	1.187415124
42	1.185819359
43	1.183922137
44	1.1821087
45	1.181178856
46	1.179632406
47	1.17784208
48	1.174586886
49	1.173018286
50	1.171526265
51	1.170354022
52	1.168983699
53	1.166978065
54	1.166433852
55	1.165610823
56	1.164338811
57	1.163101682
58	1.162245718
59	1.160641854
60	1.159463514
61	1.157740463
62	1.156944673
63	1.155125619
64	1.153513335
65	1.151909134
66	1.150757307
67	1.149959953
68	1.148580218
69	1.147403424
70	1.146696383
71	1.145022399
72	1.143821746
73	1.142532463
74	1.141745917
75	1.140591419
76	1.139258076
77	1.138507725
78	1.137324475
79	1.135117578
80	1.133961491
81	1.133087356
82	1.131638952
83	1.130226904
84	1.128878823
85	1.127830651
86	1.126541897
87	1.125753707
88	1.124657772
89	1.123234533
90	1.120875232
91	1.119741371
92	1.11909882
93	1.118045708
94	1.116415202
95	1.115169105
96	1.11463213
97	1.113802753
98	1.112878424
99	1.111518993
100	1.110668654
101	1.109597404
102	1.108930582
103	1.107669793
104	1.106423205
105	1.105310039
106	1.103972265
107	1.103131957
108	1.101710151
109	1.100049585
110	1.098463235
111	1.097215336
112	1.096360434
113	1.09552523
114	1.094538451
115	1.093464791
116	1.092746422
117	1.092084715
118	1.091286483
119	1.090059471
120	1.089281164
121	1.087579323
122	1.086603133
123	1.085621146
124	1.085102896
125	1.084285065
126	1.083264001
127	1.082089984
128	1.081431697
129	1.080014339
130	1.07859303
131	1.076921236
132	1.075828119
133	1.074680514
134	1.073800274
135	1.071863876
136	1.071197179
137	1.069917822
138	1.067651479
139	1.066976401
140	1.066026253
141	1.065075162
142	1.063944115
143	1.063197741
144	1.062723195
145	1.062305366
146	1.061302813
147	1.060344314
148	1.059596815
149	1.058489422
150	1.057821118
151	1.05694009
152	1.056117811
153	1.055079407
154	1.05426936
155	1.05198949
156	1.051205438
157	1.050744398
158	1.049131513
159	1.048129914
160	1.047518659
161	1.046432104
162	1.044864015
163	1.044259362
164	1.043743423
165	1.042174561
166	1.040777274
167	1.040124976
168	1.039146624
169	1.037946068
170	1.03707025
171	1.036453672
172	1.03546656
173	1.034758949
174	1.034299148
175	1.033596888
176	1.032680706
177	1.032205587
178	1.030912579
179	1.029997562
180	1.02923975
181	1.028777267
182	1.028301493
183	1.026682929
184	1.025419038
185	1.024253622
186	1.023797587
187	1.023144817
188	1.022217775
189	1.021096694
190	1.020203497
191	1.019346867
192	1.018343121
193	1.0166338
194	1.015371992
195	1.014124351
196	1.012897043
197	1.011587717
198	1.010569665
199	1.009727046
200	1.008501419
201	1.008182988
202	1.00695774
203	1.006182497
204	1.00532045
205	1.004112687
206	1.003048119
207	1.002089176
208	1.000865433
209	1.000009645
210	0.9989260713
211	0.9980889924
212	0.9974595443
213	0.9960995998
214	0.9948856455
215	0.9941628685
216	0.9933326437
217	0.9923904535
218	0.9908680313
219	0.9902515014
220	0.9893297707
221	0.9885512584
222	0.9873055801
223	0.9861213117
224	0.985137484
225	0.9840780765
226	0.9832244296
227	0.9823731658
228	0.9815599952
229	0.981203661
230	0.9800486549
231	0.9790941233
232	0.9783402052
233	0.9772691509
234	0.9757837076
235	0.974945532
236	0.9743611589
237	0.9731088243
238	0.9727340902
239	0.9717886593
240	0.9711115331
241	0.9697817993
242	0.9693141397
243	0.9689203068
244	0.96703804
245	0.9657574981
246	0.9652165849
247	0.96404753
248	0.9636143297
249	0.9632785613
250	0.9625265324
251	0.9618080002
252	0.9599922429
253	0.9587193247
254	0.9579453725
255	0.9571349898
256	0.9561098921
257	0.9550993
258	0.9546675407
259	0.9535771085
260	0.9530695377
261	0.9517371565
262	0.9500644808
263	0.9492939433
264	0.9483659453
265	0.9472668588
266	0.9460228183
267	0.9454768878
268	0.9447276048
269	0.9438166052
270	0.9431933698
271	0.9421103497
272	0.9416875138
273	0.9408620306
274	0.9399721462
275	0.9394796251
276	0.9386600144
277	0.9376841377
278	0.9364654259
279	0.9350327616
280	0.9339522238
281	0.9331976903
282	0.9321946004
283	0.9313182763
284	0.9307567779
285	0.9299019183
286	0.9293251029
287	0.9289848515
288	0.9283831424
289	0.927627777
290	0.9266792384
291	0.9259764029
292	0.9244610594
293	0.9229859191
294	0.9224390828
295	0.921832427
296	0.9207249512
297	0.9200458277
298	0.9192750775
299	0.9187745522
300	0.918115956
301	0.9174459624
302	0.915978242
303	0.9149498733
304	0.9138405708
305	0.9128481944
306	0.9119944413
307	0.9112377695
308	0.9103643853
309	0.9090290541
310	0.9083740199
311	0.9077283269
