iter	Passed	Remaining
0	71	71425
1	137	68441
2	200	66488
3	260	64866
4	322	64276
5	385	63876
6	451	64065
7	522	64791
8	602	66363
9	671	66473
10	739	66528
11	805	66325
12	874	66389
13	945	66607
14	1018	66884
15	1084	66711
16	1156	66882
17	1225	66866
18	1298	67066
19	1368	67066
20	1434	66855
21	1497	66574
22	1561	66326
23	1623	66040
24	1686	65763
25	1748	65492
26	1813	65346
27	1880	65285
28	1943	65068
29	2008	64934
30	2072	64771
31	2135	64600
32	2198	64414
33	2260	64214
34	2323	64073
35	2385	63874
36	2448	63715
37	2509	63538
38	2571	63375
39	2633	63198
40	2694	63017
41	2757	62905
42	2820	62768
43	2881	62604
44	2945	62513
45	3008	62402
46	3070	62256
47	3134	62168
48	3199	62097
49	3260	61958
50	3324	61869
51	3387	61765
52	3453	61703
53	3523	61720
54	3588	61651
55	3651	61546
56	3716	61485
57	3778	61372
58	3840	61248
59	3903	61157
60	3966	61053
61	4032	61010
62	4094	60898
63	4158	60812
64	4222	60738
65	4285	60651
66	4346	60530
67	4407	60415
68	4472	60346
69	4537	60286
70	4598	60172
71	4661	60087
72	4724	59998
73	4787	59903
74	4851	59830
75	4915	59767
76	4977	59659
77	5042	59603
78	5103	59501
79	5163	59385
80	5226	59298
81	5288	59204
82	5353	59144
83	5414	59040
84	5475	58945
85	5537	58856
86	5601	58780
87	5664	58701
88	5728	58641
89	5793	58582
90	5865	58586
91	5931	58538
92	6000	58525
93	6068	58489
94	6136	58460
95	6202	58407
96	6268	58358
97	6332	58281
98	6398	58233
99	6460	58146
100	6522	58057
101	6583	57963
102	6648	57898
103	6712	57833
104	6779	57789
105	6845	57734
106	6910	57674
107	6974	57600
108	7033	57497
109	7094	57401
110	7158	57329
111	7221	57253
112	7281	57159
113	7341	57061
114	7406	56996
115	7467	56908
116	7531	56840
117	7592	56752
118	7651	56648
119	7714	56575
120	7779	56515
121	7852	56513
122	7914	56429
123	7978	56361
124	8037	56264
125	8100	56190
126	8164	56122
127	8228	56059
128	8291	55985
129	8359	55944
130	8419	55848
131	8478	55749
132	8543	55692
133	8605	55613
134	8666	55531
135	8728	55453
136	8792	55388
137	8856	55320
138	8920	55257
139	8984	55188
140	9048	55124
141	9110	55050
142	9173	54974
143	9238	54917
144	9301	54846
145	9364	54773
146	9425	54694
147	9489	54629
148	9550	54548
149	9613	54476
150	9676	54403
151	9737	54326
152	9803	54274
153	9865	54198
154	9927	54123
155	9992	54063
156	10057	54002
157	10119	53927
158	10182	53859
159	10245	53790
160	10309	53724
161	10369	53640
162	10430	53560
163	10493	53490
164	10558	53434
165	10618	53349
166	10680	53275
167	10741	53195
168	10803	53124
169	10867	53059
170	10928	52981
171	10990	52909
172	11054	52844
173	11121	52796
174	11184	52726
175	11247	52660
176	11309	52587
177	11371	52512
178	11432	52435
179	11493	52358
180	11559	52303
181	11618	52220
182	11676	52131
183	11738	52055
184	11800	51986
185	11862	51915
186	11924	51841
187	11987	51775
188	12047	51694
189	12106	51611
190	12168	51540
191	12231	51473
192	12295	51413
193	12360	51354
194	12420	51272
195	12484	51210
196	12544	51133
197	12606	51062
198	12668	50994
199	12727	50911
200	12787	50832
201	12850	50764
202	12909	50685
203	12970	50611
204	13033	50542
205	13097	50481
206	13158	50409
207	13219	50335
208	13282	50268
209	13343	50198
210	13411	50148
211	13475	50087
212	13535	50010
213	13596	49939
214	13657	49864
215	13724	49814
216	13788	49751
217	13851	49687
218	13914	49622
219	13977	49556
220	14037	49481
221	14103	49425
222	14168	49366
223	14232	49306
224	14295	49241
225	14360	49180
226	14423	49116
227	14486	49051
228	14548	48983
229	14612	48919
230	14671	48840
231	14735	48779
232	14797	48710
233	14859	48642
234	14922	48576
235	14984	48508
236	15046	48442
237	15109	48374
238	15170	48303
239	15232	48236
240	15293	48164
241	15355	48098
242	15421	48041
243	15487	47984
244	15550	47921
245	15613	47855
246	15676	47790
247	15739	47725
248	15799	47652
249	15863	47589
250	15926	47524
251	15987	47453
252	16047	47381
253	16113	47325
254	16175	47256
255	16236	47186
256	16298	47118
257	16361	47054
258	16423	46987
259	16486	46921
260	16551	46864
261	16619	46814
262	16684	46755
263	16754	46710
264	16819	46650
265	16885	46594
266	16946	46523
267	17012	46466
268	17075	46401
269	17138	46337
270	17202	46276
271	17269	46220
272	17328	46145
273	17393	46087
274	17467	46049
275	17530	45986
276	17596	45928
277	17660	45867
278	17720	45793
279	17785	45735
280	17855	45686
281	17920	45628
282	17980	45554
283	18042	45488
284	18104	45420
285	18168	45356
286	18231	45293
287	18293	45224
288	18354	45156
289	18422	45103
290	18487	45044
291	18551	44980
292	18612	44910
293	18675	44845
294	18740	44786
295	18802	44719
296	18867	44660
297	18935	44605
298	18998	44542
299	19058	44470
300	19125	44415
301	19189	44352
302	19254	44291
303	19315	44222
304	19379	44159
305	19445	44102
306	19510	44042
307	19573	43976
308	19637	43914
309	19702	43853
310	19766	43791
311	19831	43731
312	19894	43665
313	19957	43600
314	20019	43533
315	20082	43470
316	20143	43400
317	20208	43339
318	20270	43273
319	20333	43207
320	20398	43147
321	20459	43080
322	20527	43025
323	20592	42963
324	20656	42901
325	20718	42836
326	20783	42775
327	20847	42711
328	20909	42644
329	20974	42583
330	21039	42523
331	21109	42473
332	21176	42416
333	21239	42351
334	21305	42293
335	21370	42232
336	21433	42167
337	21497	42103
338	21559	42038
